Artist;Name;Scrobbles;Rank
"Quantic";"Magnetica";"3";"4421"
"EMEFE";"Good Future";"3";"4422"
"Lone";"Ambivert Tools, Vol. 2";"67";"119"
"Stippenlift";"Chaos In Het Universum";"1";"8102"
"SASSY 009";"Are you leaving";"2";"5711"
"Carl Gari";"Shipster";"2";"5712"
"Irreversible Entanglements";"Irreversible Entanglements";"2";"5713"
"Loke Rahbek";"Buy Corals Online";"2";"5714"
"Delic";"The Oasis";"1";"8103"
"Bennie Maupin";"The Jewel In The Lotus";"16";"844"
"Jamila Woods";"HEAVN";"1";"8104"
"Steve Reich";"Beauty in Simplicity";"1";"8105"
"Nubya Garcia";"Nubya's 5ive";"60";"141"
"Vels Trio";"Yellow Ochre EP";"7";"2159"
"Don Philippe";"Red Flower";"2";"5715"
"Songhoy Blues";"Bamako";"1";"8106"
"Songhoy Blues";"Résistance";"3";"4423"
"Ant Orange";"Right There";"1";"8107"
"Gernot Bronsert";"Beauty In Simplicity";"1";"8108"
"Wim Mertens";"Beauty in Simplicity";"1";"8109"
"Ant Orange";"Ant Orange";"2";"5716"
"Jadu Heart";"Wanderflower";"1";"8110"
"Quantum Collage";"Lucid Dreaming";"8";"1901"
"M.RUX";"In the Hold";"50";"185"
"Kundan Lal";"Periodic Perciotic";"17";"784"
"Tony Allen";"The Source";"11";"1355"
"Art Feynman";"The Shape You're In";"1";"8111"
"Akron/Family";"Akron/Family";"6";"2502"
"Joe Armon-Jones";"Idiom";"149";"23"
"Chelou";"Damned Eye See";"3";"4424"
"Juana Molina";"Halo";"2";"5717"
"Richard Spaven";"The Self (feat. Jordan Rakei)";"1";"8112"
"bastien keb";"22.02.85";"5";"2950"
"Högni";"Two Trains";"5";"2951"
"Joon Moon";"Moonshine Corner";"4";"3581"
"Reginald Omas Mamode IV";"Working...";"1";"8113"
"Pete Josef";"Colour";"2";"5718"
"Shawn Lee's Ping Pong Orchestra";"Voices And Choices";"2";"5719"
"History of Colour";"Calidoso";"38";"272"
"U.S. Girls";"In A Poem Unlimited";"120";"36"
"Murcof";"Avril 14th (Aphex Twin) [Vanessa Wagner Version]";"1";"8114"
"Andy Stott";"Luxury Problems";"1";"8115"
"Hodini";"M$R003";"1";"8116"
"TiRon & Ayomari";"WET: the Wonderful Ego Trip";"9";"1704"
"Christopher Schwarzwälder";"Three Rivers EP";"1";"8117"
"Rival Consoles";"Unfolding";"1";"8118"
"Noya Rao";"Icaros";"5";"2952"
"Cotton Jones";"Paranoid Cocoon";"24";"484"
"Polo & Pan";"Canopée - EP";"2";"5720"
"Shigeto";"The New Monday";"11";"1356"
"Maria Rita Stumpf";"Brasileira Remixes";"4";"3582"
"My Brightest Diamond";"This Is My Hand";"4";"3583"
"Dreems";"In Dreems";"38";"273"
"Josef Leimberg";"Astral Progressions";"7";"2160"
"Nils Frahm";"All Melody";"94";"55"
"Art Feynman";"Blast Off Through The Wicker";"10";"1519"
"Jimmy Whoo";"Motel Music, Pt. 2";"1";"8119"
"DJ Koze";"Illumination";"7";"2161"
"LAAKE";"Introspective";"2";"5721"
"Sly5thAve";"Bitch Don't Kill My Vibe / Get Free";"18";"724"
"Ahmad Jamal";"Marseille";"2";"5722"
"Penya";"Super Liminal";"24";"485"
"Skinny Pelembe";"I'll Be On Your Mind";"10";"1520"
"Palta";"Universel";"2";"5723"
"James Blake";"If The Car Beside You Moves Ahead";"18";"725"
"Jitwam";"selftitled";"8";"1902"
"Lost Midas";"Undefined";"1";"8120"
"Sly5thAve";"California Love";"3";"4425"
"Pedestrian";"hyperpnea";"3";"4426"
"Unknown Mortal Orchestra";"Not in Love We’re Just High";"1";"8121"
"George Fitzgerald";"Outgrown";"2";"5724"
"Snide Rhythms";"Unicorns and Rainbows 2";"1";"8122"
"andrés oddone";"Happiness Is a Side Effect (Remixes)";"9";"1705"
"andrés oddone";"Aura EP";"1";"8123"
"BeGun";"Slum, Pt. 1";"7";"2162"
"Skinny Pelembe";"Mindset Is Fear";"3";"4427"
"Skinny Pelembe";"Seven Year Curse - EP";"12";"1236"
"Skinny Pelembe";"Spit/Swallow";"41";"251"
"Jonwayne";"Rap Album Two";"22";"543"
"Emma-Jean Thackray's WALRUS";"WALRUS EP";"2";"5725"
"Sly5thAve";"The Invisible Man: An Orchestral Tribute To Dr. Dre";"19";"671"
"Casino Versus Japan";"DJ-Kicks (Lone) [Mixed Tracks]";"1";"8124"
"Jono Ma";"The Dreemas";"2";"5726"
"Colleen";"Captain of None";"7";"2163"
"Buttering Trio";"Threesome";"71";"105"
"Grandbrothers";"Open";"3";"4428"
"Buttering Trio";"Puzzles, Vol. 3";"1";"8125"
"Jaja";"Tropical Bird Club";"34";"309"
"DJ Koze";"Seeing Aliens";"8";"1903"
"Tim Engelhardt";"Moments Of Truth";"3";"4429"
"Shelter";"Zon Zon Zon";"1";"8126"
"Lords of the Underground";"Here Come the Lords";"1";"8127"
"Mr Day";"Get Your Point Over";"4";"3584"
"Ambala";"Volume 1";"2";"5727"
"Obo Addy";"Kronos Explorer Series";"2";"5728"
"Braxton Cook";"Somewhere in Between";"10";"1521"
"Hidden Orchestra";"Dawn Chorus";"13";"1114"
"Peter Broderick";"Late Night Tales: Jon Hopkins";"1";"8128"
"Idris Muhammad";"Turn This Mutha Out";"13";"1115"
"Kokoroko";"Abusey Junction";"1";"8129"
"Dimlite";"A/DD";"1";"8130"
"KOKOKO!";"Tongos'a";"3";"4430"
"Deerhoof";"Mountain Moves";"1";"8131"
"Kara-Lis Coverdale";"Aftertouches";"8";"1904"
"GoGo Penguin";"A Humdrum Star";"8";"1905"
"Lapti";"V Tiraj";"1";"8132"
"The Survivals";"My Brother";"1";"8133"
"Henry Wu";"Deep In The Mudd";"5";"2953"
"LAAKE";"FAAKE";"1";"8134"
"LAAKE";"Piaano";"7";"2164"
"El Búho";"Balance";"12";"1237"
"Project Pablo";"Beaubien Dream";"4";"3585"
"Chaos in the CBD";"Invisible Spectrum";"32";"326"
"Pete Josef";"Colour Remixed";"2";"5729"
"Suzanne Kraft";"Talk From Home";"7";"2165"
"Portico Quartet";"Art In The Age Of Automation";"13";"1116"
"PREQUEL";"Freedom Jazz Dance";"6";"2503"
"Gizmo Varillas";"El Dorado";"9";"1706"
"Gizmo Varillas";"Losing You";"1";"8135"
"Leifur James";"Time";"2";"5730"
"Leifur James";"Red Sea";"1";"8136"
"Coss";"Rose Mallow";"1";"8137"
"Pedestrian";"Circadian Rhythms";"5";"2954"
"Dengue Dengue Dengue";"Son de los Diablos";"2";"5731"
"Cero39";"Mis Tierras Calientes";"5";"2955"
"Toro y Moi";"Boo Boo";"6";"2504"
"Kelly Lee Owens";"Kelly Lee Owens (Extended Version)";"42";"237"
"George Fitzgerald";"Roll Back";"1";"8138"
"George Fitzgerald";"Nobody But You (feat. Hudson Scott)";"1";"8139"
"Mildlife";"Phase";"24";"486"
"Dengue Dengue Dengue!";"Serpiente Dorada";"1";"8140"
"Dengue Dengue Dengue!";"La Alianza Profana";"1";"8141"
"Jon Hopkins";"Emerald Rush";"2";"5732"
"Mano Le Tough";"Ahsure E.P.";"10";"1522"
"Sophia Kennedy";"Sophia Kennedy";"49";"188"
"Soulphiction";"Parking Lot Blues EP";"2";"5733"
"Erik Truffaz";"Being Human Being";"1";"8142"
"Sea Moya";"New Past";"1";"8143"
"Sea Moya";"Baltic States";"3";"4431"
"Matanza";"Future Sounds Of Jazz Volume 13";"1";"8144"
"Acid Pauli";"The Erdäpfelkaas";"1";"8145"
"viva sherry";"Obento Music";"3";"4432"
"Rejjie Snow";"Dear Annie";"175";"17"
"Shafiq Husayn";"Shafiq En'A-Free-Ka";"5";"2956"
"Oumou Sangaré";"Minata Waraba (Sampha Remix)";"1";"8146"
"NATUREBOY FLAKO";"Natureboy";"4";"3586"
"Moses Boyd";"Rye Lane Shuffle";"4";"3587"
"Mano Le Tough";"Changing Days Remixes";"1";"8147"
"Indian Wells";"Cascades";"2";"5734"
"Andy Cato";"Times and Places (Sketches from the Road)";"5";"2957"
"Flamingods";"Majesty Remixed";"3";"4433"
"A/T/O/S";"Outboxed";"1";"8148"
"WhoMadeWho";"Nu Disco Stuff, Vol. 1";"1";"8149"
"Georgia Anne Muldrow";"Great Blacks - Single";"1";"8150"
"Wilma Archer";"Like A Hunger";"3";"4434"
"Move D";"To the Disco ‘77 & Hybrid Minds Remixes";"3";"4435"
"David Lee Jr.";"Black Fire! New Spirits! Radical and Revolutionary Jazz in the USA 1957-82";"1";"8151"
"Olivier St.Louis";"Black Music";"6";"2505"
"Milo";"So The Flies Don't Come";"1";"8152"
"Frankie Reyes";"Boleros Valses y Mas";"1";"8153"
"Maribou State";"Portraits Remixed";"16";"845"
"Rokia Traoré";"Mouneïssa";"3";"4436"
"Peter Broderick";"Erased Tapes Collection II";"3";"4437"
"Bajka";"The World";"1";"8154"
"Portico Quartet";"Portico Quartet";"1";"8155"
"Tata Dindin";"Gambia - Salam - New Kora Music";"3";"4438"
"Jimi Tenor";"Strut Africa";"1";"8156"
"Holy Forest";"Holy Forest";"1";"8157"
"ElPeche";"Tropikalia, Vol. 1: Summer '16 Edition";"1";"8158"
"Iorie";"The Story of A";"3";"4439"
"Coss";"Shift I - II";"3";"4440"
"Alphonse Mouzon";"Mind Transplant";"9";"1707"
"Alphonse Mouzon";"In Search Of A Dream";"1";"8159"
"Alphonse Mouzon";"virtue";"2";"5735"
"Rahsaan Roland Kirk";"Blacknuss";"4";"3588"
"Frank Zappa";"Jazz From Hell";"5";"2958"
"Axel Boman";"Family Vacation";"54";"169"
"Awkwafina";"Yellow Ranger";"4";"3589"
"Betty Davis";"Betty Davis";"2";"5736"
"Michael Kiwanuka";"Cold Little Heart (Radio Edit)";"15";"922"
"Da Cruz";"Eco do Futuro";"2";"5737"
"Hello Skinny";"Watermelon Sun";"46";"210"
"Sudan Archives";"Water";"2";"5738"
"Sudan Archives";"Sudan Archives";"34";"310"
"Rampa";"You Are Safe";"11";"1357"
"Sophia Kennedy";"Being Special";"7";"2166"
"Milo";"who told you to think??!!?!?!?!";"18";"726"
"MGMT";"Little Dark Age";"1";"8160"
"Quiet Dawn";"Human Being: The Short Story Of The Reed";"7";"2167"
"George Fitzgerald";"All That Must Be";"43";"231"
"⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ";"̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉ ̸ ̡ ҉ ҉.·๑ඕั ҉";"5";"2959"
"Tunnelvisions";"Midnight Voyage";"2";"5739"
"HAAi";"DaDaDa";"8";"1906"
"HAAi";"Be Good";"6";"2506"
"HAAi";"FEELS";"2";"5740"
"Sälen";"Copper Kiss (Remixes)";"1";"8161"
"Awate";"Happiness";"6";"2507"
"Kamasi Washington";"Harmony of Difference";"6";"2508"
"Ben Westbeech";"Welcome to the Best Years of Your Life";"10";"1523"
"Yellow Days";"Is Everything Okay in Your World?";"30";"355"
"Al-chem";"Weird Fiction";"10";"1524"
"Darwish";"Reclamation";"20";"624"
"Art Feynman";"Near Negative";"11";"1358"
"Babatunde Olatunji";"Drums of Passion (Original Album Plus Bonus Tracks, 1959)";"1";"8162"
"Her";"Her Tape #1";"1";"8163"
"Izem";"Hafa";"1";"8164"
"Harts";"Daydreamer";"4";"3590"
"Kilo Kish";"Navy";"1";"8165"
"Msafiri Zawose";"Nzala Urugu";"1";"8166"
"Colin Stetson";"New History Warfare Vol. 2: Judges";"2";"5741"
"Kalaha";"Masala";"1";"8167"
"Alex Izenberg";"Harlequin";"2";"5742"
"Neue Grafik";"Innervision";"7";"2168"
"Lokal Affair";"Azra";"1";"8168"
"Thornato";"Bennu";"14";"1011"
"Cumbia Cosmonauts";"Vostok-1";"2";"5743"
"Mabuta";"Welcome To This World";"8";"1907"
"Ariwo";"Ariwo";"6";"2509"
"TSHEGUE";"Survivor";"1";"8169"
"Nicole Willis";"Big Fantasy (For Me) / Tear It Down";"5";"2960"
"Jono McCleery";"Seeds Of A Dandelion";"3";"4441"
"El Michels Affair";"Snakes";"2";"5744"
"Everything Is Recorded";"Everything Is Recorded by Richard Russell";"2";"5745"
"Makadem";"Nyako";"4";"3591"
"Idris Muhammad";"Power of Soul";"4";"3592"
